# Experiment 3: Population Dynamics and Price Equation
# K=20 G=50 N_RUNS=3
# n_dev_steps=20 lr_dev=0.005 sigma_mut=0.001
# N_INIT_STEPS=100 LR_INIT=0.008
# CHUNK_SIZE=30 CHUNK_OVERLAP=5
# PREFIX_LENGTHS=[3, 5, 8]
# tau=0.0027629846721001438
# block_size=32 n_embd=32 n_layer=2 n_head=4
# Price equation OLS: slope=1.9694 intercept=-3.0e-5 R^2=0.2166

run,gen,R_bar_before,w_bar,delta_sel,price_predicted,delta_sel_sd,delta_sel_lo95,delta_sel_hi95,delta_dev,delta_mut,mean_k,mean_s,risk_selected,risk_selected_expected,risk_after_dev,risk_after_mut
1,1,2.926329,0.05384441,-0.00979401,-0.00914939,0.02069731,-0.04971612,0.03141733,-0.12652314,7.603e-5,2.25,5.95,2.916535,2.91718,2.790012,2.790088
1,2,2.790088,0.0614286,0.00934324,-0.00041581,0.00454287,-0.00931984,0.00848822,-0.02086455,-4.718e-5,2.4,6.1,2.799431,2.789672,2.778567,2.77852
1,3,2.77852,0.06215021,0.00695825,-0.00063575,0.00561968,-0.01165031,0.01037882,-0.02411346,1.051e-5,2.6,6.65,2.785478,2.777884,2.761364,2.761375
1,4,2.761375,0.06321499,-0.00518842,-0.00032148,0.00399295,-0.00814767,0.0075047,-0.01262486,-7.93e-5,2.65,6.85,2.756187,2.761053,2.743562,2.743482
1,5,2.743482,0.06436542,-0.0011286,-0.0006043,0.00545641,-0.01129887,0.01009026,-0.00473388,4.29e-5,2.4,6.4,2.742354,2.742878,2.73762,2.737663
1,6,2.737663,0.06473239,-0.00399364,-0.00033818,0.00411068,-0.00839511,0.00771874,0.00676628,-2.875e-5,2.55,6.45,2.733669,2.737325,2.740435,2.740407
1,7,2.740407,0.06455439,0.00139876,-0.00031902,0.00399622,-0.00815161,0.00751357,-0.00978609,4.66e-5,2.7,6.85,2.741805,2.740088,2.732019,2.732066
1,8,2.732066,0.0650953,-0.00396012,-0.00032607,0.00403869,-0.00824191,0.00758977,-0.00256581,5.297e-5,2.8,6.95,2.728106,2.73174,2.72554,2.725593
1,9,2.725593,0.06551618,0.00435636,-0.00026983,0.00367579,-0.00747438,0.00693472,-0.00642971,-4.344e-5,2.75,6.85,2.729949,2.725323,2.72352,2.723476
1,10,2.723476,0.06565319,-0.00218975,-0.00021389,0.00326612,-0.00661547,0.0061877,-0.00188099,0.00010358,2.7,6.8,2.721286,2.723262,2.719405,2.719509
1,11,2.719509,0.06591793,-0.0010582,-0.00032702,0.00401774,-0.0082018,0.00754776,0.0010032,0.00010289,2.8,7.05,2.718451,2.719182,2.719454,2.719557
1,12,2.719557,0.06592134,-0.00252244,-0.0005254,0.00509395,-0.01050955,0.00945874,0.00670188,-2.982e-5,2.9,7.1,2.717034,2.719032,2.723736,2.723707
1,13,2.723707,0.0656419,0.00043859,-0.00033094,0.00406606,-0.00830041,0.00763854,-0.00232647,2.175e-5,2.85,7.15,2.724145,2.723376,2.721819,2.72184
1,14,2.72184,0.06576317,-0.00030775,-0.00029014,0.00380695,-0.00775177,0.00717149,-0.00624712,0.00012501,2.8,6.85,2.721533,2.72155,2.715286,2.715411
1,15,2.715411,0.066191,0.00081732,-0.00039914,0.00445876,-0.00913831,0.00834004,-0.00694329,1.109e-5,3.05,7.15,2.716228,2.715011,2.709285,2.709296
1,16,2.709296,0.06660124,0.00315141,-0.00052602,0.00511237,-0.01054627,0.00949422,-0.00352771,0.00012205,3.0,7.2,2.712447,2.70877,2.708919,2.709041
1,17,2.709041,0.06661223,-0.00595988,-0.00034815,0.00416454,-0.00851065,0.00781435,0.00768323,-3.587e-5,3.0,7.35,2.703082,2.708693,2.710765,2.710729
1,18,2.710729,0.06650004,-0.00112523,-0.00034892,0.00411694,-0.00841812,0.00772027,-0.00266934,2.685e-5,2.9,7.2,2.709604,2.71038,2.706934,2.706961
1,19,2.706961,0.06676129,-0.00539855,-0.00065378,0.00565374,-0.01173512,0.01042755,-0.00167305,6.95e-5,2.85,7.2,2.701563,2.706307,2.69989,2.699959
1,20,2.699959,0.06722291,-0.0090503,-0.00043464,0.00464108,-0.00953115,0.00866188,0.01595469,-5.211e-5,3.15,7.5,2.690909,2.699524,2.706863,2.706811
1,21,2.706811,0.06676713,-0.00048143,-0.00053216,0.00513009,-0.01058713,0.00952282,-0.00227917,0.00013304,2.95,7.15,2.70633,2.706279,2.704051,2.704184
1,22,2.704184,0.0669338,-0.00112905,-0.00026494,0.00363339,-0.00738639,0.00685651,0.00147393,8.799e-5,2.85,7.2,2.703055,2.703919,2.704529,2.704617
1,23,2.704617,0.06691975,-0.00082529,-0.00070552,0.00586869,-0.01220816,0.01079712,2.846e-5,0.00012982,3.2,7.6,2.703791,2.703911,2.70382,2.70395
1,24,2.70395,0.06695896,-0.00084237,-0.00054649,0.00519553,-0.01072972,0.00963674,-0.00505722,0.00017263,3.0,7.4,2.703107,2.703403,2.69805,2.698223
1,25,2.698223,0.06734444,0.00274626,-0.00057357,0.00532562,-0.01101178,0.00986464,-0.00565687,-4.362e-5,2.85,7.0,2.700969,2.697649,2.695312,2.695268
1,26,2.695268,0.06754435,0.00324519,-0.00059233,0.00540102,-0.01117832,0.00999366,0.00475501,4.37e-6,2.85,7.05,2.698514,2.694676,2.703269,2.703273
1,27,2.703273,0.0670099,-0.00824927,-0.00071497,0.00596253,-0.01240152,0.01097159,0.00153149,9.666e-5,2.9,7.1,2.695024,2.702558,2.696555,2.696652
1,28,2.696652,0.06745976,0.005573,-0.00085242,0.00648903,-0.01357092,0.01186608,-0.00755402,-9.951e-5,3.2,7.65,2.702225,2.6958,2.694671,2.694571
1,29,2.694571,0.06758119,-0.00038654,-0.00029079,0.00379603,-0.00773101,0.00714943,0.00393304,7.957e-5,3.15,7.45,2.694185,2.694281,2.698118,2.698197
1,30,2.698197,0.06735225,-0.00171602,-0.00074984,0.00603547,-0.01257937,0.01107969,-0.00116071,7.455e-5,2.95,7.35,2.696481,2.697448,2.695321,2.695395
1,31,2.695395,0.06753709,-0.00415622,-0.00063081,0.00557465,-0.01155712,0.0102955,0.00587906,-4.29e-6,3.15,7.7,2.691239,2.694764,2.697118,2.697114
1,32,2.697114,0.06741447,-0.00468957,-0.0004353,0.00464715,-0.00954372,0.00867312,0.00278991,-3.26e-6,3.4,8.0,2.692424,2.696679,2.695214,2.695211
1,33,2.695211,0.06754608,0.0029657,-0.00052962,0.00512154,-0.01056784,0.0095086,-0.00149523,6.766e-5,3.3,7.8,2.698177,2.694681,2.696681,2.696749
1,34,2.696749,0.06744247,-0.00820921,-0.00053613,0.0051561,-0.0106421,0.00956983,0.00163489,0.0001151,3.4,8.0,2.68854,2.696213,2.690175,2.69029
1,35,2.69029,0.06787933,0.00188672,-0.00053055,0.00512425,-0.01057409,0.00951298,0.00755526,6.033e-5,3.35,8.0,2.692177,2.689759,2.699732,2.699792
1,36,2.699792,0.06724293,-0.00520239,-0.000696,0.00588118,-0.01222311,0.0108311,0.00382159,6.317e-5,3.4,8.05,2.69459,2.699096,2.698411,2.698475
1,37,2.698475,0.06732747,-0.00482592,-0.0005726,0.00531574,-0.01099145,0.00984625,0.00867472,-0.00017129,3.05,7.65,2.693649,2.697902,2.702323,2.702152
1,38,2.702152,0.06709524,0.01069955,-0.0010165,0.00709634,-0.01492534,0.01289233,-0.01507515,0.0003525,3.45,8.05,2.712852,2.701136,2.697776,2.698129
1,39,2.698129,0.06739899,-0.00485857,-0.00195657,0.00950864,-0.02059351,0.01668036,0.01573398,-5.6e-7,3.4,8.0,2.69327,2.696172,2.709004,2.709004
1,40,2.709004,0.06662216,-0.00398265,-0.00057038,0.00532186,-0.01100124,0.00986047,-0.02568348,-8.795e-5,3.05,7.55,2.705021,2.708433,2.679338,2.67925
1,41,2.67925,0.06862139,0.00012434,-0.00019775,0.00314985,-0.00637145,0.00597595,0.02153702,-4.376e-5,3.2,7.75,2.679374,2.679052,2.700911,2.700867
1,42,2.700867,0.06717248,-0.00931844,-0.00075146,0.00613233,-0.01277083,0.0112679,0.00283022,-7.886e-5,3.15,7.65,2.691549,2.700116,2.694379,2.6943
1,43,2.6943,0.06760968,-0.00416101,-0.00059228,0.0054422,-0.01125898,0.01007442,-0.00088093,-8.447e-5,3.6,8.25,2.690139,2.693708,2.689258,2.689174
1,44,2.689174,0.06796489,0.01045944,-0.00081697,0.00635943,-0.01328145,0.01164752,0.00068931,0.00028587,3.55,8.15,2.699633,2.688357,2.700323,2.700608
1,45,2.700608,0.06719462,-0.00573483,-0.00088496,0.00656527,-0.01375289,0.01198297,-0.00094513,-4.036e-5,3.45,7.95,2.694874,2.699724,2.693929,2.693888
1,46,2.693888,0.06764025,-0.00076038,-0.00066887,0.00574051,-0.01192028,0.01058253,-0.0122362,6.785e-5,3.3,7.7,2.693128,2.693219,2.680892,2.680959
1,47,2.680959,0.06851943,-0.00156705,-0.00063762,0.00557408,-0.01156283,0.01028758,0.01363696,0.00032785,2.8,7.15,2.679392,2.680322,2.693029,2.693357
1,48,2.693357,0.0676764,0.00154449,-0.00067506,0.00576027,-0.01196519,0.01061508,0.01054369,0.0004078,3.3,7.85,2.694902,2.692682,2.705445,2.705853
1,49,2.705853,0.06688073,-0.00950897,-0.00199869,0.00985536,-0.02131518,0.01731781,-0.00445173,0.00017897,3.3,7.65,2.696344,2.703854,2.691892,2.692071
1,50,2.692071,0.06776903,0.00673148,-0.00083835,0.00642296,-0.01342734,0.01175065,-0.01240812,0.00013714,3.4,7.75,2.698803,2.691233,2.686395,2.686532
2,1,2.955974,0.05230787,-0.02234664,-0.01051453,0.02221336,-0.05405271,0.03302366,-0.13211743,-2.694e-5,2.6,6.65,2.933627,2.945459,2.80151,2.801483
2,2,2.801483,0.06075989,0.01587839,-0.00129765,0.0079013,-0.0167842,0.0141889,-0.05025185,-8.674e-5,2.5,6.35,2.817361,2.800185,2.767109,2.767022
2,3,2.767022,0.06286446,0.00214227,-0.00049507,0.0049607,-0.01021805,0.00922791,-0.01060005,0.00016068,2.6,6.65,2.769165,2.766527,2.758565,2.758725
2,4,2.758725,0.06338236,-0.00437331,-0.00031095,0.00394077,-0.00803485,0.00741295,-0.01171907,0.00028807,2.65,6.65,2.754352,2.758414,2.742633,2.742921
2,5,2.742921,0.06439284,-0.00374976,-0.00033602,0.00409618,-0.00836453,0.00769248,0.00194381,6.939e-5,2.65,6.8,2.739171,2.742585,2.741115,2.741184
2,6,2.741184,0.06450707,0.00026817,-0.00040584,0.004469,-0.00916507,0.00835339,-0.00716322,9.554e-5,2.9,7.25,2.741453,2.740779,2.734289,2.734385
2,7,2.734385,0.06494305,-0.00070262,-0.00028087,0.00375118,-0.00763318,0.00707144,0.00079425,5.311e-5,2.65,6.7,2.733682,2.734104,2.734477,2.73453
2,8,2.73453,0.06493548,-0.0080618,-0.00033742,0.00411275,-0.00839842,0.00772357,0.0069583,-1.62e-6,2.75,6.8,2.726468,2.734192,2.733426,2.733425
2,9,2.733425,0.06501389,-0.00742866,-0.00053825,0.00515542,-0.01064287,0.00956637,-0.00190113,4.992e-5,2.85,6.95,2.725996,2.732886,2.724095,2.724145
2,10,2.724145,0.06561333,0.00545094,-0.00033519,0.00407162,-0.00831556,0.00764518,-0.00992214,-8.099e-5,3.15,7.45,2.729596,2.723809,2.719673,2.719592
2,11,2.719592,0.06590986,-0.00211463,-0.00025078,0.00354471,-0.00719841,0.00669684,0.00468684,7.997e-5,2.75,6.8,2.717478,2.719342,2.722165,2.722245
2,12,2.722245,0.06574641,0.00810986,-0.0005869,0.00539136,-0.01115396,0.00998017,-0.01585228,-9.531e-5,2.85,7.15,2.730355,2.721658,2.714502,2.714407
2,13,2.714407,0.06625491,-0.00333184,-0.00032249,0.00401394,-0.00818981,0.00754482,0.00357786,-6.075e-5,2.95,7.15,2.711075,2.714084,2.714653,2.714592
2,14,2.714592,0.0662422,0.00436787,-0.00030833,0.00390632,-0.00796473,0.00734806,-0.00447291,-3.08e-5,3.0,7.25,2.71896,2.714284,2.714487,2.714456
