# Experiment 6: Two-Ecology Bracket Balance
# Corpus: Practical Common Lisp (normalized)
# N_BASE_STEPS=10000 N_POST_STEPS=4000 LR=0.005
# VOCAB_SIZE=32 BLOCK_SIZE=32
# K_POP=12 G_GEN=20 N_POST_POP=1500 SIGMA_MUT=0.1

# Stage 1: Static alpha sweep
alpha,body_ce,summary_ce,js_bal_unbal
0.0,2.210648,25.567494,0.0053207
0.05,2.164651,1.826179,0.00140282
0.1,2.134837,0.809427,0.0150525
0.25,2.113836,0.569688,0.12889817
0.5,2.068629,0.284211,0.28612994
0.75,2.115131,0.357644,0.29141275
1.0,2.079109,0.187129,0.36762044

# Stage 2: Population selection
gen,alpha_bar,alpha_bar_sel,ce_bar,f_bar
1,0.45789,0.549987,1.644725,0.482343
2,0.563645,0.604114,0.572529,0.597327
3,0.576728,0.672364,0.760852,0.555384
4,0.710876,0.7475,0.426812,0.671895
5,0.791964,0.799337,0.312706,0.73784
6,0.73713,0.740525,0.350939,0.710203
7,0.765461,0.778869,0.373319,0.696687
8,0.793443,0.81418,0.428872,0.668399
9,0.904303,0.912879,0.356382,0.713048
10,0.902672,0.921544,0.391253,0.689315
11,0.783614,0.803529,0.391508,0.685489
12,0.774682,0.804616,0.39932,0.685357
13,0.796872,0.817189,0.315172,0.737152
14,0.889569,0.903442,0.32771,0.727739
15,0.85668,0.86671,0.295687,0.752348
16,0.854401,0.862883,0.407049,0.676441
17,0.828304,0.84833,0.40025,0.679454
18,0.846404,0.856793,0.322478,0.730435
19,0.836748,0.853251,0.43599,0.654166
20,0.915504,0.921028,0.328574,0.72578
