# Experiment 7: Two-Ecology Transfer (Bracket Discrimination)
# Corpus: Practical Common Lisp (normalized)
# N_TRAIN_STEPS=12000 LR=0.005
# VOCAB_SIZE=30 BLOCK_SIZE=32
# K_POP=14 G_GEN=25 N_TRAIN_POP=6000 SIGMA_MUT=0.12
# Evaluation: NLL discrimination (never trained on balance labels)

# Stage 1: Static alpha sweep
alpha,nll_bal,nll_unbal,discrimination
0.0,4.145415,4.143822,-0.001592
0.1,2.124287,2.586522,0.462235
0.25,2.07462,2.591599,0.516979
0.5,1.957021,2.538348,0.581327
0.75,1.98852,2.701561,0.713042
0.9,1.939909,2.630735,0.690825
1.0,1.961959,2.746713,0.784754

# Stage 2: Population selection
gen,alpha_bar,alpha_bar_sel,discrimination_bar,f_bar
1,0.465578,0.492922,0.487653,1.639678
2,0.371064,0.41254,0.48073,1.64439
3,0.514713,0.54427,0.504184,1.67322
4,0.515217,0.562134,0.460805,1.615105
5,0.571825,0.617788,0.520609,1.707199
6,0.65779,0.676962,0.579999,1.794289
7,0.658927,0.67374,0.550188,1.73834
8,0.637607,0.662461,0.569459,1.776128
9,0.605664,0.629815,0.563125,1.763596
10,0.524409,0.557022,0.489421,1.648221
11,0.63675,0.660431,0.554279,1.750278
12,0.603164,0.627026,0.557372,1.753456
13,0.751912,0.764741,0.583998,1.796857
14,0.622789,0.642338,0.584667,1.803616
15,0.665378,0.703141,0.568204,1.788573
16,0.754952,0.764612,0.586975,1.801798
17,0.738026,0.75162,0.585427,1.799597
18,0.832839,0.837786,0.594485,1.814641
19,0.861519,0.865478,0.602082,1.82826
20,0.791625,0.802588,0.578022,1.788334
21,0.773427,0.783035,0.578773,1.788025
22,0.723534,0.732706,0.5817,1.792625
23,0.843679,0.847516,0.634366,1.888769
24,0.870601,0.880609,0.633089,1.891677
25,0.889812,0.892797,0.612909,1.848236
